"統計期","市立美術館參觀人次","市立動物園參觀人次","市立兒童新樂園入園人次","市立天文科學教育館參觀人次","士林官邸公園參觀人次","臺北自來水園區參觀人次","北投溫泉博物館參觀人次","台北探索館參觀人次","藍色水路載客人次"
"95年 7月",41815,309806,110878,75567,90120,63839,11837,35126,0
"95年 8月",29657,359178,85841,90458,80910,78078,15162,30590,0
"95年 9月",3426,199807,50630,62294,77850,11869,11795,15822,0
"95年 10月",26383,402784,95999,86110,86287,11190,15070,16564,0
"95年 11月",33685,324288,123567,81512,100500,11231,16919,14743,0
"95年 12月",35059,255686,120312,68918,225600,8977,17544,18151,0
"96年 1月",29888,241143,85778,42754,176410,7824,20030,9801,1811
"96年 2月",37631,541675,144692,54033,142410,14785,16698,4477,4506
"96年 3月",48164,206694,61035,49893,136630,22353,16436,13413,2035
"96年 4月",34478,286334,81392,60354,150200,27473,17395,18559,2209
"96年 5月",32698,195044,76362,65389,128500,32622,15480,14776,2314
"96年 6月",27055,164387,44439,33632,98000,47392,12138,17272,16196
"96年 7月",41684,270837,67235,75220,92856,147696,16260,25131,9125
"96年 8月",27747,240652,142468,74860,84150,71421,15157,19658,8191
"96年 9月",24407,281388,83924,77298,81560,36101,15548,10706,9288
"96年 10月",23936,284772,69677,59188,83787,22678,4243,15724,9650
"96年 11月",47752,280645,66962,66984,214665,25552,0,11488,7982
"96年 12月",71298,376644,96228,58411,184206,23456,0,11729,7691
"97年 1月",50988,229871,71262,45601,117850,23711,0,8093,5098
"97年 2月",34204,249551,49368,33782,147900,20769,0,4391,5047
"97年 3月",40627,338256,91239,61000,141000,31353,25029,10065,5946
"97年 4月",41022,351204,105689,49992,110000,38231,18392,17248,3868
"97年 5月",48568,266783,75419,51242,121000,45292,18845,17123,7439
"97年 6月",27548,170505,35918,25730,103200,55574,15330,13291,5882
"97年 7月",36232,283629,87964,63246,98000,93738,22401,19561,4239
"97年 8月",41675,407900,111362,72460,79100,107902,24100,18942,11301
"97年 9月",20331,146748,39865,48469,77500,54300,10622,12264,4843
"97年 10月",35672,339742,102492,53794,78680,50493,22905,15752,10681
